planet_name,planet_status,mass,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name
CoRoT-8 b,Confirmed,0.215838656,6.21229,0.063,0,2010,Primary Transit,CoRoT-8
CoRoT-9 b,Confirmed,0.84,95.273804,0.407,0.133,2010,Primary Transit,CoRoT-9
DE0823-49 b,Confirmed,31.5,247.75,0.36,0.36,2013,Imaging,DE0823-49
DP Leo b,Confirmed,6.05,10230,8.19,0.39,2009,Pulsar,DP Leo
EPIC 211418729 b,Confirmed,1.85,11.39109,0.09309,0,2017,Primary Transit,EPIC 211418729
EPIC 211442297 b,Confirmed,0.84,20.273034,0.1367,0.137,2017,Primary Transit,EPIC 211442297
EPIC 219388192 b,Confirmed,36.5,5.292569,0.0593,0.1929,2016,Primary Transit,EPIC 219388192
EPIC 220504338,Confirmed,1.28,5.817712,0.0575,0,2016,Primary Transit,EPIC 220504338
EPIC 228735255 b,Confirmed,1.019,6.5693,0.0591,0.12,2017,Primary Transit,EPIC 228735255
EPIC 228754001 b,Confirmed,0.495,9.1708,0.0916,0.29,2017,Primary Transit,EPIC 228754001
Fomalhaut b,Confirmed,3,320000,115,0.11,2008,Imaging,Fomalhaut
GJ 1132 b,Confirmed,0.0051,1.62893,0.0154,0,2015,Primary Transit,GJ 1132
GJ 1214 b,Confirmed,0.020325331,1.58040482,0.01411,0.27,2009,Primary Transit,GJ 1214
GJ 15 A b,Confirmed,0.016832898,11.4433,0.0717,0,2014,Radial Velocity,GJ 15 A
GJ 160.2 b,Confirmed,0.032092628,5.2354,0.053,0.06,2014,Radial Velocity,GJ 160.2
GJ 163 b,Confirmed,0.0334,8.633,0.06069,0.0106,2012,Radial Velocity,GJ 163
GJ 163 c,Confirmed,0.02285,25.645,0.1254,0.094,2012,Radial Velocity,GJ 163
GJ 163 d,Confirmed,0.06945,600.895,1.02689,0.399,2013,Radial Velocity,GJ 163
GJ 176 b,Confirmed,0.0265,8.7836,0.066,0,2007,Radial Velocity,GJ 176
GJ 179 b,Confirmed,0.82,2288,2.41,0.21,2010,Radial Velocity,GJ 179
GJ 180 b,Confirmed,0.02611459,17.38,0.103,0.11,2014,Radial Velocity,GJ 180
GJ 180 c,Confirmed,0.020136551,24.329,0.129,0.09,2014,Radial Velocity,GJ 180
GJ 229 A b,Confirmed,0.100682755,471,0.97,0.1,2014,Radial Velocity,GJ 229 A
GJ 27.1 b,Confirmed,0.040902369,15.819,0.101,0.08,2014,Radial Velocity,GJ 27.1
GJ 273 b,Confirmed,0.00909,18.6498,0.091101,0.1,2017,Radial Velocity,GJ 273
GJ 273 c,Confirmed,0.00371,4.7234,0.036467,0.17,2017,Radial Velocity,GJ 273
GJ 3021 b,Confirmed,3.37,133.71,0.49,0.511,2000,Radial Velocity,GJ 3021
GJ 3138 b,Confirmed,0.0132,5.974,0.057,0.11,2017,Radial Velocity,GJ 3138
