star_name,ra,dec,class
HR 3471,08 42 20.90,-55 46 27.1,STAR K2III
HR 8271,21 40 33.60,-55 44 15.0,STAR K0II
HR 2634,06 58 39.60,-55 43 45.8,STAR K2III
HR 7233,19 08 52.10,-55 43 13.1,STAR K1III
HR 4180,10 39 18.41,-55 36 11.9,STAR G2I
HR 5488,14 45 10.90,-55 36 06.8,STAR B2III
HR 3679,09 14 18.00,-55 34 10.9,STAR G8II
HR 6019,16 13 22.61,-55 32 26.9,STAR F2III
HR 2526,06 47 18.70,-55 32 24.0,STAR K5III
HR 6461,17 25 18.00,-55 31 48.0,STAR K3I
HR 3732,09 21 49.99,-55 30 54.0,STAR A3IV
HR 3161,08 01 31.49,-55 27 18.0,STAR B4V
HR 7388,19 29 52.61,-55 26 29.0,STAR K0III
HR 6614,17 48 38.11,-55 24 06.1,STAR A9IV
HR 3920,09 53 00.00,-55 22 23.9,STAR B1IV
HR 5637,15 11 16.01,-55 20 46.0,STAR G2I
HR 338 ,01 08 23.11,-55 14 44.9,STAR B6V
HR 3868,09 41 47.81,-55 12 51.1,STAR B4V
HR 3368,08 29 36.31,-55 11 28.0,STAR G0V
HR 3717,09 19 32.59,-55 11 12.1,STAR B5V
HR 6487,17 28 38.71,-55 10 10.9,STAR G8II
HR 4682,12 18 59.69,-55 08 35.2,STAR M1III
HR 6073,16 20 25.20,-55 08 24.0,STAR K0III
HR 7393,19 30 34.49,-55 06 36.0,STAR F5V
HR 5873,15 51 06.79,-55 03 20.9,STAR B2II
HR 7758,20 20 32.30,-55 03 02.9,STAR M0III
HR 1465,04 33 59.81,-55 02 42.0,STAR A0III
HR 4063,10 19 36.79,-55 01 45.8,STAR K3II
HR 7674,20 07 35.09,-55 00 59.0,STAR F8V
HR 3349,08 27 27.41,-55 00 42.1,STAR A0V
HR 3734,09 22 06.79,-55 00 38.9,STAR B2IV
HR 5426,14 33 32.40,-54 59 53.9,STAR F6IV
HR 8368,21 57 55.10,-54 59 33.0,STAR F0IV
HR 7549,19 52 39.00,-54 58 36.1,STAR A2V
HR 4038,10 15 16.61,-54 58 27.1,STAR B2IV
HR 7548,19 52 37.61,-54 58 16.0,STAR G8III
HR 2212,06 10 17.90,-54 58 07.0,STAR B3III
HR 3570,08 55 11.90,-54 57 56.2,STAR F6V
HR 4885,12 53 03.91,-54 57 09.0,STAR K2III
HR 1912,05 33 44.40,-54 54 07.9,STAR F8V
HR 4107,10 26 49.01,-54 52 39.0,STAR K3II
HR 148 ,00 35 33.41,-54 49 18.8,STAR K0IV
HR 8055,21 05 14.21,-54 43 37.9,STAR K2III
HR 3485,08 44 42.19,-54 42 29.9,STAR A1V
HR 5236,13 56 33.00,-54 42 15.8,STAR G6IV
HR 2524,06 46 41.50,-54 41 40.9,STAR G6III
HR 5278,14 05 46.51,-54 40 09.8,STAR A5III
HR 8188,21 26 15.41,-54 39 38.2,STAR F1III
HR 6024,16 13 28.70,-54 37 50.2,STAR G8III
HR 5311,14 13 39.89,-54 37 32.9,STAR B5V
HR 6297,17 00 06.19,-54 35 48.8,STAR A5IV
HR 5946,16 01 06.41,-54 34 40.1,STAR A5V
HR 3940,09 56 51.79,-54 34 04.1,STAR B5I
HR 5141,13 41 44.69,-54 33 36.0,STAR B8V
HR 802 ,02 40 39.60,-54 33 00.0,STAR F4IV
HR 3157,08 01 22.90,-54 30 54.0,STAR B2IV
HR 6549,17 38 05.59,-54 30 01.1,STAR A5IV
HR 3700,09 17 42.31,-54 29 43.1,STAR K3III
HR 4390,11 21 00.41,-54 29 28.0,STAR B5V
HR 7329,19 22 51.10,-54 25 25.0,STAR A0V
HR 7459,19 40 18.31,-54 25 03.0,STAR K0III
HR 1667,05 05 00.60,-54 24 27.0,STAR M2III
HR 2892,07 30 30.91,-54 23 57.8,STAR M1III
HR 162 ,00 37 18.10,-54 23 39.1,STAR K0II
HR 3382,08 31 29.59,-54 23 39.1,STAR K3III
HR 3088,07 52 29.69,-54 22 01.9,STAR B1IV
HR 2023,05 47 13.01,-54 21 38.9,STAR K3III
HR 7370,19 27 48.10,-54 19 31.1,STAR K4III
HR 1168,03 44 33.79,-54 16 26.0,STAR K1III
HR 4460,11 34 45.70,-54 15 51.1,STAR B9V
HR 3156,08 00 49.90,-54 09 05.0,STAR B5V
HR 5234,13 56 19.80,-54 07 54.8,STAR A1V
HR 2587,06 52 46.90,-54 05 24.0,STAR G5I
HR 5937,15 59 54.00,-54 01 16.0,STAR B5IV
HR 23  ,00 09 02.40,-54 00 06.8,STAR G4IV
HR 4497,11 40 42.60,-53 58 07.0,STAR M1III
HR 8774,23 04 39.60,-53 57 54.0,STAR K5III
HR 3875,09 43 42.19,-53 53 30.1,STAR A0IV
HR 4882,12 52 24.60,-53 49 45.8,STAR G8I
HR 6055,16 16 43.10,-53 48 40.0,STAR M2III
HR 8895,23 23 54.31,-53 48 29.9,STAR A4III
HR 506 ,01 42 29.30,-53 44 26.2,STAR F9V
HR 4134,10 31 21.79,-53 42 56.2,STAR F6V
HR 202 ,00 45 00.00,-53 42 54.0,STAR F7III
HR 8211,21 29 00.31,-53 42 20.9,STAR K2III
HR 6022,16 13 16.80,-53 40 18.1,STAR M0I
HR 3840,09 37 12.31,-53 40 07.0,STAR A2V
HR 5308,14 13 16.39,-53 39 56.9,STAR K5III
HR 8501,22 18 15.60,-53 37 40.1,STAR G3V
HR 2554,06 49 51.31,-53 37 19.9,STAR G6II
HR 6622,17 50 28.20,-53 36 43.9,STAR B2V
HR 3611,09 03 05.21,-53 32 58.9,STAR B6V
HR 520 ,01 46 06.31,-53 31 18.8,STAR A1V
HR 5319,14 15 21.19,-53 30 34.9,STAR K3III
HR 8655,22 45 37.90,-53 30 01.1,STAR K2III
HR 5132,13 39 53.21,-53 27 59.0,STAR B1III
HR 1563,04 50 55.20,-53 27 41.0,STAR F0IV
HR 1564,04 50 56.30,-53 27 34.9,STAR F4V
HR 4951,13 07 38.30,-53 27 34.9,STAR B8V
HR 8140,21 19 52.01,-53 26 58.9,STAR A5V
HR 3440,08 39 23.81,-53 26 22.9,STAR B5V
HR 5297,14 09 54.79,-53 26 21.1,STAR G9III
HR 479 ,01 38 48.19,-53 26 20.0,STAR F5IV
HR 2114,05 57 14.40,-53 25 34.0,STAR K5III
HR 7297,19 18 09.41,-53 23 12.1,STAR F7V
HR 3753,09 26 18.10,-53 22 45.1,STAR B6V
HR 5217,13 53 43.10,-53 22 25.0,STAR B5III
HR 3955,10 01 40.49,-53 21 51.8,STAR B2V
HR 6530,17 35 19.99,-53 21 10.1,STAR B9III
HR 2971,07 39 00.41,-53 16 23.9,STAR B9IV
HR 8114,21 15 45.91,-53 15 47.2,STAR A6IV
HR 6314,17 03 08.81,-53 14 12.8,STAR F6V
HR 4360,11 13 39.31,-53 13 54.1,STAR K2III
HR 3386,08 32 04.80,-53 12 43.9,STAR K0III
HR 5869,15 50 06.89,-53 12 33.8,STAR B9V
HR 7411,19 32 53.81,-53 11 08.9,STAR F0
HR 5380,14 23 48.41,-53 10 36.1,STAR K1III
HR 6295,16 59 35.11,-53 09 38.2,STAR K4III
HR 4417,11 26 47.30,-53 09 36.0,STAR K0III
HR 6207,16 44 39.79,-53 09 09.0,STAR G8III
HR 6632,17 51 10.99,-53 07 50.2,STAR B9III
HR 3467,08 42 25.49,-53 06 50.0,STAR B3IV
HR 3180,08 05 04.01,-53 06 29.2,STAR K3III
HR 3466,08 42 18.91,-53 06 00.0,STAR B8
HR 3435,08 38 44.90,-53 05 26.2,STAR B8V
HR 3350,08 27 36.50,-53 05 19.0,STAR A9III
HR 6059,16 17 20.90,-53 05 12.1,STAR A8IV
HR 3442,08 39 57.60,-53 03 18.0,STAR B4IV
HR 3448,08 40 17.40,-53 00 55.1,STAR B7V
HR 3117,07 56 46.70,-52 58 55.9,STAR B3IV
HR 2435,06 34 58.61,-52 58 32.2,STAR A0II
HR 3837,09 36 46.30,-52 56 39.1,STAR K0III
HR 7134,18 58 27.70,-52 56 19.0,STAR A0V
HR 3447,08 40 17.59,-52 55 18.8,STAR B3IV
HR 6954,18 34 31.20,-52 53 30.8,STAR K2III
HR 7521,19 48 55.10,-52 53 17.2,STAR K1III
HR 7673,20 07 23.21,-52 52 50.9,STAR M1II
HR 1365,04 18 40.01,-52 51 36.0,STAR F7IV
HR 3503,08 48 00.19,-52 51 02.2,STAR B8V
HR 5207,13 52 04.80,-52 48 42.1,STAR B9V
HR 5556,14 56 17.30,-52 48 34.9,STAR A2III
HR 3341,08 26 25.20,-52 48 27.0,STAR A0V
HR 2341,06 24 48.19,-52 48 23.0,STAR K5III
HR 4872,12 50 57.91,-52 47 15.0,STAR A5V
HR 2044,05 50 28.61,-52 46 04.1,STAR K0III
HR 8747,23 00 52.80,-52 45 15.1,STAR G8III
HR 5026,13 20 37.80,-52 44 53.2,STAR B6V
HR 9069,23 58 55.80,-52 44 44.9,STAR K0III
HR 8233,21 33 17.71,-52 44 15.0,STAR K4III
HR 2278,06 17 51.70,-52 43 59.2,STAR K2III
HR 3574,08 56 19.39,-52 43 25.0,STAR B5V
HR 8907,23 26 36.60,-52 43 18.1,STAR F4V
HR 2326,06 23 57.10,-52 41 44.9,STAR F0II
HR 8611,22 39 08.40,-52 41 31.9,STAR F1III
HR 1227,03 54 34.01,-52 41 26.2,STAR A4V
HR 5427,14 33 29.90,-52 40 48.0,STAR K0III
HR 2884,07 29 59.59,-52 39 04.0,STAR K0III
HR 3941,09 57 10.90,-52 38 20.0,STAR B3IV
HR 2094,05 54 50.21,-52 38 07.1,STAR F0V
HR 3100,07 55 00.50,-52 34 59.2,STAR B8III
HR 821 ,02 44 10.70,-52 34 14.2,STAR A2V
HR 4965,13 10 58.39,-52 34 00.8,STAR A0
HR 778 ,02 37 24.41,-52 32 35.2,STAR A6V
HR 2934,07 35 39.70,-52 32 02.0,STAR K3III
HR 2767,07 15 21.00,-52 29 58.9,STAR K1III
HR 7714,20 14 19.01,-52 26 44.2,STAR K4III
HR 5865,15 48 50.30,-52 26 17.2,STAR K2III
HR 2515,06 45 53.69,-52 24 36.0,STAR K3III
HR 5495,14 47 01.30,-52 23 01.0,STAR G8III
HR 140 ,00 34 27.79,-52 22 23.2,STAR F3IV
HR 5798,15 38 49.51,-52 22 22.1,STAR A0V
HR 4638,12 11 39.10,-52 22 07.0,STAR B3V
HR 8269,21 39 59.69,-52 21 33.1,STAR F7III
HR 7213,19 06 19.90,-52 20 26.9,STAR F7V
HR 2416,06 33 26.09,-52 19 44.0,STAR G8III
HR 1818,05 24 46.20,-52 18 59.0,STAR A0V
HR 2813,07 20 21.41,-52 18 42.1,STAR F0IV
HR 2814,07 20 21.70,-52 18 34.9,STAR G0V
HR 6483,17 27 57.60,-52 17 49.9,STAR K2III
HR 6275,16 56 28.70,-52 17 02.0,STAR B9V
HR 5498,14 47 12.31,-52 12 20.2,STAR A1III
HR 2513,06 45 26.09,-52 12 04.0,STAR G6I
HR 3605,09 01 44.59,-52 11 17.9,STAR B9
HR 3978,10 06 07.10,-52 11 17.2,STAR K1III
HR 5036,13 22 16.20,-52 10 59.2,STAR B2I
HR 1742,05 15 38.90,-52 10 54.8,STAR K2III
HR 2322,06 23 37.70,-52 10 52.0,STAR G8III
HR 4010,10 12 22.99,-52 09 47.9,STAR K2III
HR 5230,13 55 12.19,-52 09 40.0,STAR B9V
HR 3542,08 52 40.80,-52 07 45.1,STAR A0V
HR 3300,08 22 55.20,-52 07 26.0,STAR A0V
HR 4939,13 05 30.79,-52 06 54.0,STAR M1III
HR 2049,05 50 53.21,-52 06 32.0,STAR G8III
HR 7087,18 52 39.60,-52 06 27.0,STAR G8III
HR 5649,15 12 17.09,-52 05 57.1,STAR G8III
HR 2815,07 20 38.69,-52 05 10.0,STAR B9II
HR 1727,05 13 53.30,-52 01 52.0,STAR K3III
HR 2698,07 07 13.30,-51 58 04.1,STAR K0III
HR 6475,17 26 56.30,-51 56 57.1,STAR B8V
HR 7093,18 53 12.10,-51 55 52.0,STAR B4III
HR 7920,20 44 02.30,-51 55 16.0,STAR A7III
HR 8898,23 24 13.10,-51 53 29.0,STAR M0III
HR 6585,17 44 08.71,-51 50 03.1,STAR G3IV
HR 2400,06 31 18.29,-51 49 34.0,STAR F8V
HR 4296,11 00 08.59,-51 49 04.1,STAR A3III
HR 3990,10 08 56.30,-51 48 40.0,STAR B3IV
HR 573 ,01 57 00.10,-51 45 58.0,STAR F6V
HR 4020,10 13 28.01,-51 45 22.0,STAR A3IV
HR 3739,09 23 59.50,-51 44 13.9,STAR A7I
HR 3330,08 25 31.01,-51 43 41.2,STAR B2V
HR 4582,11 59 10.90,-51 41 48.1,STAR K1III
HR 1498,04 39 04.30,-51 40 22.1,STAR K2III
HR 566 ,01 55 57.50,-51 36 32.0,STAR G8III
HR 7968,20 51 30.10,-51 36 29.9,STAR K1II
HR 5738,15 28 27.19,-51 35 51.0,STAR G2II
HR 1250,04 00 15.70,-51 33 52.9,STAR M1III
HR 3708,09 18 42.19,-51 33 38.2,STAR B6I
HR 3784,09 30 05.21,-51 31 01.9,STAR B8V
HR 674 ,02 16 30.60,-51 30 43.9,STAR B8V
HR 5296,14 09 34.99,-51 30 16.9,STAR B9IV
HR 1338,04 16 01.61,-51 29 12.1,STAR F4III
HR 2925,07 34 39.50,-51 28 28.9,STAR A1III
HR 4732,12 26 31.61,-51 27 02.9,STAR B3V
HR 3133,07 58 21.41,-51 26 55.0,STAR A8IV
HR 5560,14 57 01.39,-51 26 48.8,STAR M2III
HR 5172,13 46 39.31,-51 25 58.1,STAR G8III
HR 2652,07 00 51.50,-51 24 09.0,STAR M1III
HR 4637,12 11 31.39,-51 21 33.8,STAR G6III
HR 3935,09 56 21.89,-51 20 10.0,STAR B2IV
HR 8675,22 48 33.31,-51 19 00.8,STAR A3V
HR 5016,13 18 34.61,-51 17 10.0,STAR A0V
HR 2523,06 46 52.80,-51 15 56.9,STAR K1II
HR 8027,21 00 21.50,-51 15 55.1,STAR F5IV
HR 3819,09 34 08.81,-51 15 19.1,STAR B1IV
HR 4017,10 13 22.80,-51 13 59.9,STAR A7V
HR 3872,09 43 27.50,-51 13 41.9,STAR B6V
HR 2138,06 00 49.20,-51 12 59.0,STAR A0
HR 4318,11 06 05.81,-51 12 45.0,STAR G8III
HR 3631,09 07 14.69,-51 12 42.8,STAR K4III
HR 4045,10 16 40.20,-51 12 18.0,STAR M4III
HR 4913,12 57 04.39,-51 11 55.0,STAR B8V
HR 5071,13 29 25.20,-51 09 55.1,STAR A1V
HR 3924,09 53 50.21,-51 08 48.8,STAR B2III
HR 6312,17 01 46.10,-51 07 50.9,STAR A7V
HR 755 ,02 33 54.60,-51 05 37.0,STAR F6V
HR 701 ,02 22 54.60,-51 05 31.9,STAR A5V
HR 6821,18 17 00.91,-51 04 05.9,STAR B9V
HR 2020,05 47 17.11,-51 03 59.0,STAR A5V
HR 3703,09 18 05.81,-51 03 04.0,STAR B7III
HR 7190,19 03 57.41,-51 01 07.0,STAR K0III
HR 2862,07 26 21.89,-51 01 05.9,STAR K0III
HR 5158,13 44 15.91,-51 00 47.2,STAR A0
HR 242 ,00 50 41.21,-50 59 12.8,STAR F2III
HR 3413,08 35 52.10,-50 58 12.0,STAR B8
HR 4321,11 06 27.41,-50 57 24.1,STAR K2III
HR 8749,23 01 07.49,-50 57 00.0,STAR K3III
HR 871 ,02 54 06.50,-50 52 17.0,STAR K4III
HR 637 ,02 10 25.61,-50 49 27.8,STAR K1V
HR 519 ,01 46 05.81,-50 48 59.0,STAR M3III
HR 810 ,02 42 33.50,-50 48 01.1,STAR G0V
HR 5152,13 42 54.60,-50 47 26.2,STAR M0III
HR 5377,14 23 20.30,-50 46 19.9,STAR K2III
HR 4274,10 57 07.90,-50 45 54.0,STAR A4V
HR 4619,12 08 04.80,-50 45 47.9,STAR B9V
HR 7992,20 54 34.99,-50 43 40.1,STAR B5IV
HR 4621,12 08 21.50,-50 43 21.0,STAR B2IV
HR 4985,13 13 23.50,-50 42 00.0,STAR B9V
HR 8793,23 07 14.69,-50 41 11.0,STAR F6IV
HR 6274,16 56 08.90,-50 40 30.0,STAR B3V
HR 4618,12 08 05.21,-50 39 41.0,STAR B6III
HR 6289,16 58 18.00,-50 38 28.0,STAR B9IV
HR 6468,17 26 00.00,-50 38 01.0,STAR G8III
HR 6478,17 27 12.41,-50 37 49.1,STAR B9II
HR 5890,15 52 51.50,-50 36 55.1,STAR K3III
HR 2553,06 49 56.21,-50 36 52.9,STAR K1III
HR 2594,06 54 02.30,-50 36 42.1,STAR K0III
HR 1767,05 19 22.10,-50 36 22.0,STAR F7III
HR 3178,08 04 42.41,-50 35 26.2,STAR G5II
HR 111 ,00 28 43.10,-50 31 58.1,STAR K0III
HR 6576,17 42 03.89,-50 30 38.2,STAR M3II
HR 3071,07 50 23.90,-50 30 34.9,STAR K2III
HR 7271,19 12 46.10,-50 29 11.0,STAR G8III
HR 1516,04 42 46.39,-50 28 53.0,STAR K0III
HR 5425,14 32 36.89,-50 27 24.8,STAR B2III
HR 3256,08 15 23.30,-50 26 57.8,STAR K3III
HR 1090,03 32 34.80,-50 22 43.0,STAR K2III
HR 5251,13 59 17.30,-50 22 12.0,STAR G8III
HR 2083,05 54 10.70,-50 21 42.8,STAR G8IV
HR 2687,07 05 16.49,-50 21 37.1,STAR K3III
HR 2281,06 18 46.80,-50 21 33.1,STAR G2I
HR 9082,00 01 19.99,-50 20 13.9,STAR M2III
HR 5176,13 47 38.40,-50 19 16.0,STAR K2III
HR 8877,23 20 49.99,-50 18 24.1,STAR F5
HR 5175,13 47 27.60,-50 14 57.8,STAR A3
HR 3927,09 54 51.29,-50 14 38.0,STAR A0V
HR 2384,06 29 49.10,-50 14 21.1,STAR F2V
HR 4743,12 28 02.40,-50 13 50.2,STAR B2V
HR 9006,23 47 16.01,-50 13 36.1,STAR B3V
HR 541 ,01 50 54.50,-50 12 22.0,STAR A1V
HR 3247,08 13 34.10,-50 11 46.0,STAR M1III
HR 8910,23 27 09.10,-50 09 25.9,STAR B9V
HR 6072,16 19 50.40,-50 09 20.2,STAR G8III
HR 7037,18 46 59.09,-50 05 39.8,STAR F0V
HR 6743,18 06 37.90,-50 05 30.1,STAR B2I
HR 6058,16 17 00.91,-50 04 05.9,STAR F9I
HR 6423,17 19 30.31,-50 03 47.9,STAR F8III
HR 6547,17 37 27.19,-50 03 36.0,STAR K0III
HR 6236,16 50 35.90,-50 02 44.2,STAR A5III
HR 501 ,01 41 41.09,-50 02 20.0,STAR A3V
HR 7766,20 21 40.99,-49 59 57.8,STAR G0V
HR 3005,07 43 06.89,-49 59 34.1,STAR A2V
HR 3142,07 59 12.29,-49 58 36.1,STAR B2IV
HR 3143,07 59 13.39,-49 58 25.0,STAR B2IV
HR 5134,13 39 59.69,-49 57 01.1,STAR M5III
HR 3407,08 34 43.61,-49 56 39.1,STAR K1II
HR 8152,21 21 16.39,-49 56 16.1,STAR K3III
HR 4782,12 33 59.21,-49 54 33.8,STAR F3III
HR 4942,13 06 54.60,-49 54 22.0,STAR B1V
HR 868 ,02 53 52.90,-49 53 25.1,STAR M7III
HR 7108,18 54 32.30,-49 52 43.0,STAR A2V
HR 6510,17 31 50.50,-49 52 34.0,STAR B2V
HR 5046,13 23 52.30,-49 49 23.2,STAR G8III
HR 3476,08 43 40.30,-49 49 22.1,STAR B0III
HR 4353,11 12 56.90,-49 44 11.0,STAR G8II
HR 447 ,01 32 36.31,-49 43 40.1,STAR F4V
HR 8659,22 46 28.30,-49 41 08.9,STAR K1III
HR 6188,16 41 40.20,-49 39 06.1,STAR B1I
HR 2089,05 54 41.09,-49 37 36.8,STAR B3V
HR 8828,23 13 15.00,-49 37 08.0,STAR G8III
HR 3089,07 53 03.70,-49 36 47.2,STAR B1V
HR 8791,23 07 09.50,-49 36 24.1,STAR K4III
HR 2672,07 03 53.69,-49 35 02.0,STAR A4IV
HR 1663,05 04 58.01,-49 34 40.1,STAR K5III
HR 6083,16 22 28.01,-49 34 19.9,STAR B6IV
HR 2204,06 09 23.30,-49 33 46.1,STAR F7V
HR 4933,13 03 33.19,-49 31 37.9,STAR A0V
HR 5413,14 30 20.90,-49 31 09.1,STAR A1V
HR 8303,21 45 19.01,-49 29 55.0,STAR K1III
HR 5832,15 42 37.20,-49 29 21.8,STAR K2III
HR 5453,14 37 53.21,-49 25 32.9,STAR B5V
HR 3647,09 09 45.10,-49 25 28.9,STAR A9V
HR 4216,10 46 46.20,-49 25 12.0,STAR G5III
HR 6569,17 40 23.59,-49 24 56.2,STAR F3IV
HR 4111,10 28 01.90,-49 24 20.2,STAR K4III
HR 4316,11 05 04.20,-49 23 33.0,STAR B9V
HR 5063,13 27 20.81,-49 22 50.9,STAR B3IV
HR 3836,09 36 49.61,-49 21 19.1,STAR A5IV
HR 7621,20 00 25.30,-49 21 04.0,STAR K0III
HR 3129,07 58 14.40,-49 14 42.0,STAR B1V
HR 5962,16 03 12.91,-49 13 46.9,STAR G8III
HR 1649,05 02 48.60,-49 09 05.0,STAR F2V
HR 5061,13 27 06.29,-49 08 38.0,STAR A0III
HR 4462,11 34 56.81,-49 08 12.1,STAR K1III
HR 4350,11 12 33.10,-49 06 04.0,STAR A3IV
HR 5617,15 07 25.90,-49 05 17.9,STAR G8III
HR 6   ,00 06 19.01,-49 04 30.0,STAR G1IV
HR 440 ,01 31 15.10,-49 04 22.1,STAR K0III
HR 6905,18 28 49.90,-49 04 14.9,STAR G8III
HR 4516,11 45 12.60,-49 04 10.9,STAR K1III
HR 5458,14 39 24.70,-49 03 20.2,STAR F3IV
HR 3817,09 33 44.50,-49 00 18.0,STAR B4IV
HR 3148,08 00 14.90,-48 58 53.0,STAR A2V
HR 8658,22 46 07.99,-48 58 44.0,STAR F9V
HR 4819,12 41 31.01,-48 57 34.9,STAR A1IV
HR 4996,13 14 43.10,-48 57 24.1,STAR K1III
HR 4888,12 53 06.89,-48 56 35.9,STAR K3III
HR 2719,07 10 47.50,-48 55 55.9,STAR K2III
HR 3453,08 41 05.30,-48 55 21.0,STAR B1V
HR 4734,12 26 48.19,-48 54 47.9,STAR G3V
HR 5871,15 49 57.50,-48 54 42.8,STAR A1V
HR 6374,17 11 38.90,-48 52 27.1,STAR M1III
HR 3151,08 00 28.90,-48 52 17.0,STAR A0
HR 5566,14 58 08.81,-48 51 47.2,STAR G3V
HR 2940,07 36 43.90,-48 49 49.1,STAR B9V
HR 4831,12 42 35.40,-48 48 47.2,STAR K0III
HR 9081,00 01 04.51,-48 48 36.0,STAR G8III
HR 125 ,00 31 25.01,-48 48 13.0,STAR A0V
HR 6187,16 41 20.30,-48 45 47.2,STAR O5III
HR 3831,09 36 25.30,-48 45 05.0,STAR A0
HR 5647,15 11 57.60,-48 44 37.0,STAR A3IV
HR 2290,06 20 06.10,-48 44 28.0,STAR G3V
HR 5646,15 11 56.09,-48 44 16.1,STAR B9V
HR 960 ,03 10 27.41,-48 44 03.1,STAR K1III
HR 2608,06 56 16.01,-48 43 16.0,STAR M1III
HR 4620,12 08 14.69,-48 41 34.1,STAR B9V
HR 3203,08 09 09.60,-48 41 03.8,STAR B8I
HR 6300,17 00 27.10,-48 38 52.1,STAR G8III
HR 2957,07 38 18.19,-48 36 04.0,STAR F4I
HR 8700,22 53 37.90,-48 35 53.2,STAR G0V
HR 3583,08 57 55.80,-48 34 23.9,STAR G8II
HR 5039,13 23 02.59,-48 33 46.1,STAR B6IV
HR 4802,12 37 42.19,-48 32 28.0,STAR A2V
HR 3294,08 22 31.61,-48 29 25.1,STAR B1V
HR 4940,13 06 16.70,-48 27 49.0,STAR B5V
HR 3227,08 11 11.09,-48 27 42.8,STAR B3V
HR 4871,12 50 19.61,-48 27 34.9,STAR A0V
HR 2162,06 04 46.90,-48 27 31.0,STAR G6V
HR 3943,09 57 42.50,-48 24 51.8,STAR B3V
HR 7095,18 53 02.50,-48 21 36.0,STAR A2V
HR 3539,08 52 38.59,-48 21 33.1,STAR B3V
HR 5375,14 22 38.71,-48 19 13.1,STAR B1III
HR 5699,15 21 48.19,-48 19 04.1,STAR G3V
HR 7223,19 06 55.61,-48 17 57.1,STAR A0V
HR 2563,06 51 32.81,-48 17 33.0,STAR K2III
HR 5103,13 34 28.90,-48 16 19.9,STAR B8III
HR 2762,07 14 38.21,-48 16 18.1,STAR B8V
HR 4167,10 37 18.10,-48 13 32.9,STAR F4IV
HR 2462,06 38 37.61,-48 13 13.1,STAR G8III
HR 5650,15 12 31.30,-48 13 07.0,STAR K2III
HR 120 ,00 30 26.09,-48 12 54.0,STAR F2V
HR 2348,06 25 43.61,-48 10 37.9,STAR B9V
HR 5921,15 57 03.79,-48 09 43.9,STAR F1IV
HR 6894,18 26 53.90,-48 07 00.8,STAR K0III
HR 8440,22 09 58.01,-48 06 25.9,STAR K3III
HR 3090,07 53 18.19,-48 06 11.2,STAR B0I
HR 3462,08 42 16.01,-48 05 57.1,STAR B1V
HR 7424,19 35 13.01,-48 05 57.1,STAR K0III
HR 7005,18 41 30.60,-48 05 42.0,STAR K2III
HR 4880,12 52 05.30,-48 05 39.1,STAR A0IV
HR 5663,15 15 53.81,-48 04 27.1,STAR A3
HR 1167,03 44 50.59,-48 03 41.0,STAR G8III
HR 147 ,00 35 41.11,-48 00 02.9,STAR F6V
HR 8722,22 56 47.81,-47 58 09.1,STAR A0
HR 5038,13 22 52.70,-47 56 35.2,STAR A4V
HR 3213,08 09 43.20,-47 56 15.0,STAR B1IV
HR 3358,08 29 04.70,-47 55 45.1,STAR B2IV
HR 5698,15 22 08.30,-47 55 40.1,STAR F8V
HR 6986,18 39 14.30,-47 54 34.9,STAR A7IV
HR 3118,07 57 19.99,-47 53 25.1,STAR B5V
HR 5559,14 56 31.99,-47 52 45.1,STAR B9V
HR 5683,15 18 31.99,-47 52 30.0,STAR B8V
HR 3375,08 31 10.80,-47 52 00.1,STAR B2V
HR 537 ,01 50 20.21,-47 48 59.0,STAR K1IV
HR 1021,03 21 33.29,-47 46 36.8,STAR K0III
HR 998 ,03 17 26.59,-47 45 06.1,STAR K2III
HR 4476,11 37 33.91,-47 44 49.9,STAR K2III
HR 5821,15 40 58.30,-47 44 08.2,STAR K5III
HR 7745,20 18 55.99,-47 42 38.9,STAR M1III
HR 721 ,02 26 59.11,-47 42 14.0,STAR B5IV
HR 4066,10 20 16.70,-47 41 57.1,STAR K5III
HR 4311,11 04 31.20,-47 40 45.1,STAR A8III
HR 2476,06 40 49.30,-47 40 28.9,STAR M2III
HR 4466,11 35 55.61,-47 38 30.1,STAR A7
HR 7749,20 19 17.90,-47 34 49.1,STAR F5V
HR 7537,19 50 13.80,-47 33 25.9,STAR M1III
HR 6115,16 27 11.09,-47 33 18.0,STAR B4V
HR 209 ,00 45 45.60,-47 33 06.1,STAR G1V
HR 3551,08 53 50.69,-47 31 14.9,STAR A9IV
HR 6778,18 11 04.49,-47 30 47.2,STAR K1III
HR 6451,17 23 16.10,-47 28 05.9,STAR B2III
HR 5494,14 46 29.09,-47 26 28.0,STAR A1V
HR 5469,14 41 55.80,-47 23 17.9,STAR B1III
HR 574 ,01 57 10.01,-47 23 06.0,STAR G8III
HR 1081,03 30 37.01,-47 22 31.1,STAR A1V
HR 4463,11 35 13.20,-47 22 21.0,STAR M3III
HR 6045,16 15 15.31,-47 22 19.9,STAR B8V
HR 3976,10 06 11.30,-47 22 12.0,STAR K1IV
HR 1169,03 45 15.79,-47 21 34.9,STAR K1III
HR 3206,08 09 29.30,-47 20 44.9,STAR B1IV
HR 3670,09 13 34.51,-47 20 19.0,STAR B9V
HR 822 ,02 45 16.49,-46 17 13.9,STAR K2III
HR 3207,08 09 31.99,-47 20 12.1,STAR
HR 3452,08 41 13.10,-47 19 00.8,STAR A5II
