star_name,ra,dec,class
HR 3720,09 17 25.39,-74 53 39.8,STAR A1V
HR 5042,13 25 07.10,-74 53 16.1,STAR K0III
HR 5279,14 08 27.10,-74 51 01.1,STAR G2IV
HR 2261,06 10 14.40,-74 45 11.2,STAR G6V
HR 3721,09 17 27.41,-74 44 04.9,STAR A0V
HR 5051,13 27 18.29,-74 41 30.8,STAR B9V
HR 6373,17 16 35.59,-74 31 59.2,STAR A0V
HR 4186,10 39 16.61,-74 29 37.0,STAR K3II
HR 2979,07 35 21.70,-74 16 32.2,STAR B9IV
HR 2980,07 35 21.79,-74 16 32.2,STAR B9IV
HR 1208,03 47 14.30,-74 14 20.0,STAR M2III
HR 4601,12 03 44.30,-74 12 50.0,STAR G6III
HR 4102,10 24 23.71,-74 01 54.1,STAR F2IV
HR 4105,10 24 44.30,-73 58 18.1,STAR A2V
HR 6899,18 32 55.30,-73 57 56.2,STAR K0III
HR 1964,05 34 44.69,-73 44 29.0,STAR M3III
HR 6751,18 12 34.49,-73 40 18.1,STAR F5V
HR 715 ,02 22 52.30,-73 38 44.9,STAR K1III
HR 8794,23 08 35.69,-73 35 11.0,STAR K3III
HR 5782,15 40 21.19,-73 26 48.1,STAR B7III
HR 3334,08 22 04.39,-73 24 00.0,STAR A0IV
HR 5730,15 31 30.79,-73 23 21.8,STAR B3IV
HR 3417,08 32 42.19,-73 21 24.1,STAR G8III
HR 3171,07 59 16.10,-73 14 40.9,STAR A3III
HR 32  ,00 10 38.59,-73 13 27.8,STAR F2V
HR 4142,10 31 01.99,-73 13 18.1,STAR K4III
HR 5520,14 53 13.70,-73 11 24.0,STAR G7III
HR 8061,21 09 22.30,-73 10 23.2,STAR F8V
HR 169 ,00 38 40.80,-73 08 13.9,STAR A1
HR 2531,06 43 36.79,-73 07 05.2,STAR G8III
HR 3821,09 31 36.29,-73 04 50.9,STAR K4III
HR 1700,05 06 09.29,-73 02 16.1,STAR A1V
HR 4769,12 32 10.01,-73 00 06.1,STAR K1III
HR 7027,18 49 43.49,-72 59 40.9,STAR B9IV
HR 7590,20 00 35.50,-72 54 38.2,STAR A0V
HR 9106,00 04 30.70,-72 53 52.1,STAR F2V
HR 5628,15 12 33.79,-72 46 13.1,STAR B8III
HR 2062,05 47 48.10,-72 42 07.9,STAR K0III
HR 4664,12 16 23.50,-72 36 52.9,STAR A0V
HR 3024,07 41 49.20,-72 36 22.0,STAR K0III
HR 3643,09 05 08.81,-72 36 10.1,STAR F9II
HR 3544,08 49 50.30,-72 33 02.9,STAR A0
HR 8081,21 11 20.69,-72 32 39.1,STAR K1III
HR 7498,19 49 25.30,-72 30 11.9,STAR A4III
HR 4425,11 28 18.19,-72 28 27.8,STAR B3V
HR 4213,10 44 26.50,-72 26 38.0,STAR F6V
HR 1606,04 53 05.50,-72 24 27.0,STAR F6V
HR 5955,16 05 55.80,-72 24 02.9,STAR K1III
HR 4406,11 24 11.09,-72 15 24.1,STAR B2IV
HR 8515,22 24 36.79,-72 15 20.2,STAR A3V
HR 6565,17 44 19.70,-72 13 14.9,STAR F7IV
HR 4907,12 56 31.51,-72 11 07.1,STAR G8III
HR 5030,13 22 52.61,-72 08 48.1,STAR B6V
HR 4773,12 32 28.01,-72 07 59.2,STAR B5V
HR 95  ,00 24 05.80,-72 04 52.0,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC
HR 5012,13 19 18.91,-72 02 08.2,STAR K3III
HR 4389,11 20 03.91,-71 59 39.8,STAR B4V
HR 4138,10 30 20.11,-71 59 35.2,STAR A1V
HR 4862,12 49 44.90,-71 59 11.0,STAR G8I
HR 5598,15 07 08.71,-71 54 19.1,STAR K4III
HR 939 ,03 02 15.41,-71 54 09.0,STAR B3V
HR 8159,21 25 18.10,-71 47 57.8,STAR K2III
HR 2505,06 40 57.79,-71 46 32.2,STAR K1III
HR 2283,06 15 05.90,-71 42 10.1,STAR F8V
HR 3777,09 27 06.41,-71 36 07.9,STAR K2III
HR 4923,13 02 16.20,-71 32 56.0,STAR K2III
HR 3301,08 19 49.01,-71 30 54.0,STAR B9III
