,name   ,alt_name ,ra         ,dec        ,vmag ,multiple,class                                              ,
,HR 7122,         ,18 56 16.90,-42 42 38.2, 5.36,        ,                                         STAR K0III,
,HR 4982,         ,13 12 50.90,-42 41 58.9, 6.22,        ,                                         STAR K0III,
,HR 198 ,         ,00 44 57.10,-42 40 36.1, 5.94,        ,                                           STAR F0V,
,HR 4423,         ,11 28 35.11,-42 40 27.1, 5.08,W       ,                                           STAR B9V,
,HR 6071,Lam Nor  ,16 19 17.69,-42 40 26.0, 5.45,W       ,                                           STAR A3V,
,HR 4403,         ,11 24 22.10,-42 40 09.1, 6.12,        ,                                          STAR B2IV,
,HR 3477,         ,08 44 24.00,-42 38 57.1, 4.07,W       ,                                         STAR G5III,
,HR 3205,         ,08 09 47.71,-42 38 26.2, 6.26,W       ,                                           STAR B7V,
,HR 4327,         ,11 07 16.61,-42 38 19.0, 5.15,W       ,                                            STAR A0,
,HR 1075,         ,03 29 55.01,-42 38 03.1, 5.78,        ,                                           STAR A5V,
,HR 8949,Iot Phe  ,23 35 04.61,-42 36 54.0, 4.71,W       ,                                           STAR A2V,
,HR 5797,Ome Lup  ,15 38 03.19,-42 34 03.0, 4.33,W       ,                                         STAR K4III,
,HR 8202,         ,21 27 01.61,-42 32 52.1, 5.51,W       ,                                            STAR A0,
,HR 4721,         ,12 25 08.50,-42 30 51.8, 6.11,        ,                                         STAR G5III,
,HR 2575,         ,06 52 39.70,-42 30 15.8, 6.52,        ,                                          STAR F5II,
,HR 3530,         ,08 51 27.91,-42 30 15.8, 6.55,        ,                                           STAR A1V,
,HR 558 ,Phi Phe  ,01 54 22.01,-42 29 48.8, 5.11,        ,                                           STAR A3V,
,HR 6266,         ,16 54 26.90,-42 28 44.0, 5.88,        ,                                           STAR F5I,
,HR 5193,Mu  Cen  ,13 49 37.01,-42 28 26.0, 3.04,W       ,                                          STAR B2IV,
,HR 4093,         ,10 25 17.21,-42 28 05.2, 6.18,        ,                                         STAR G8III,
,HR 3501,         ,08 48 08.81,-42 27 50.0, 6.43,        ,                                          STAR B2IV,
,HR 4600,         ,12 03 39.60,-42 26 03.1, 5.15,        ,                                           STAR F6V,
,HR 7787,Kap2Sgr  ,20 23 53.21,-42 25 22.1, 5.64,W       ,                                           STAR A5V,
,HR 3111,         ,07 56 57.89,-42 24 22.0, 6.09,        ,                                         STAR K3III,
,HR 2591,         ,06 54 26.71,-42 21 56.2, 6.32,        ,                                               STAR,
,HR 6262,Zet1Sco  ,16 53 59.69,-42 21 43.9, 4.73,        ,                                           STAR B1I,
,HR 6271,Zet2Sco  ,16 54 34.99,-42 21 41.0, 3.62,        ,                                         STAR K4III,
,HR 2666,         ,07 04 02.81,-42 20 13.9, 5.20,        ,                                            STAR A0,
,HR 5398,         ,14 26 13.39,-42 19 09.1, 6.32,        ,                                         STAR K2III,
,HR 6951,The CrA  ,18 33 30.19,-42 18 45.0, 4.64,        ,                                         STAR G8III,
,HR 99  ,Alp Phe  ,00 26 16.99,-42 18 22.0, 2.39,A       ,                                         STAR K0III,
,HR 2171,Pi 1Col  ,06 06 40.99,-42 17 55.0, 6.12,        ,                                            STAR A0,
,HR 1326,Alp Hor  ,04 14 00.10,-42 17 39.8, 3.86,        ,                                         STAR K1III,
,HR 6839,         ,18 18 40.01,-42 17 17.9, 6.30,        ,                                           STAR B0I,
,HR 3668,         ,09 13 18.60,-42 16 25.0, 6.29,        ,                                         STAR K2III,
,HR 4263,         ,10 55 01.01,-42 15 04.0, 6.11,        ,                                            STAR A0,
,HR 4970,         ,13 11 08.81,-42 13 59.2, 5.79,        ,                                          STAR F7IV,
,HR 4293,         ,11 00 09.31,-42 13 32.9, 4.39,        ,                                          STAR A3IV,
,HR 3726,         ,09 21 50.90,-42 11 42.0, 5.58,        ,                                         STAR M1III,
,HR 5440,Eta Cen  ,14 35 30.41,-42 09 28.1, 2.31,I       ,                                           STAR B1V,
,HR 2181,Pi 2Col  ,06 07 52.90,-42 09 14.0, 5.50,W       ,                                           STAR A0V,
,HR 3326,         ,08 25 51.89,-42 09 11.9, 5.47,        ,                                           STAR B3V,
,HR 4023,         ,10 14 44.21,-42 07 18.8, 3.85,        ,                                           STAR A2V,
,HR 5576,Kap Cen  ,14 59 09.70,-42 06 15.1, 3.13,W       ,                                          STAR B2IV,
,HR 5248,Phi Cen  ,13 58 16.30,-42 06 02.9, 3.83,        ,                                          STAR B2IV,
,HR 5431,         ,14 34 07.99,-42 05 58.9, 6.60,        ,                                          STAR A2IV,
,HR 7188,Zet CrA  ,19 03 06.89,-42 05 43.1, 4.75,        ,                                           STAR B9V,
,HR 3525,         ,08 50 21.00,-42 05 24.0, 6.00,        ,                                         STAR B1III,
,HR 5157,         ,13 43 40.01,-42 04 03.0, 5.98,W       ,                                         STAR B8III,
,HR 7779,Kap1Sgr  ,20 22 27.50,-42 02 58.9, 5.59,W       ,                                           STAR A0V,
,HR 588 ,         ,01 59 38.81,-42 01 50.2, 5.57,        ,                                         STAR K1III,
,HR 7334,         ,19 22 09.60,-42 00 58.0, 6.34,        ,                                         STAR K1III,
,HR 6649,         ,17 52 52.70,-41 59 48.1, 6.20,        ,                                          STAR F8IV,
,HR 6261,         ,16 53 58.80,-41 59 40.9, 6.32,        ,                                           STAR B1I,
,HR 1302,Del Hor  ,04 10 50.59,-41 59 37.0, 4.93,        ,                                           STAR A9V,
,HR 1429,         ,04 28 09.41,-41 57 36.0, 6.44,        ,                                         STAR M1III,
,HR 4087,         ,10 23 40.39,-41 57 11.9, 6.27,        ,                                          STAR G8IV,
,HR 6931,         ,18 31 03.00,-41 54 49.0, 6.04,        ,                                           STAR A3V,
,HR 4658,         ,12 15 30.50,-41 54 47.2, 6.26,        ,                                         STAR K0III,
,HR 7177,         ,19 02 08.71,-41 54 36.0, 6.23,        ,                                           STAR A0V,
,HR 7257,         ,19 09 57.79,-41 53 33.0, 5.88,        ,                                           STAR B6V,
,HR 7581,Iot Sgr  ,19 55 15.70,-41 52 05.9, 4.13,        ,                                          STAR K0II,
,HR 3600,         ,09 01 20.81,-41 51 51.8, 5.55,        ,                                           STAR B5V,
,HR 1502,Alp Cae  ,04 40 33.70,-41 51 50.0, 4.45,W       ,                                           STAR F2V,
,HR 6249,         ,16 52 19.10,-41 51 15.8, 6.49,        ,                                 WOLF RAYET STAR WN,
,HR 6263,         ,16 54 11.81,-41 51 01.1, 6.45,        ,                                           STAR O9I,
,HR 686 ,         ,02 19 24.70,-41 50 53.9, 6.37,        ,                                         STAR K2III,
,HR 5318,         ,14 14 42.60,-41 50 15.0, 5.61,        ,                                         STAR G8III,
,HR 6265,         ,16 54 19.61,-41 49 12.0, 6.59,W       ,                                               STAR,
,HR 5846,         ,15 44 22.61,-41 49 09.8, 5.94,W       ,                                           STAR A0V,
,HR 6142,         ,16 31 41.71,-41 49 00.8, 5.33,W       ,                                           STAR B1I,
,HR 6260,         ,16 54 01.80,-41 48 23.0, 5.45,W       ,                                           STAR B0I,
,HR 524 ,         ,01 47 16.80,-41 45 36.0, 6.18,        ,                                         STAR K5III,
,HR 1651,         ,05 03 54.00,-41 44 42.0, 6.31,        ,                                           STAR F8V,
,HR 5943,         ,15 59 30.31,-41 44 39.8, 4.99,        ,                                          STAR K0II,
,HR 3497,         ,08 47 40.49,-41 44 13.9, 6.36,        ,                                           STAR G0I,
,HR 4755,         ,12 29 57.91,-41 44 10.0, 6.02,        ,                                          STAR M2II,
,HR 6682,         ,17 57 47.71,-41 42 58.0, 4.88,        ,                                         STAR M0III,
,HR 4001,         ,10 10 37.90,-41 42 54.0, 5.98,        ,                                         STAR K2III,
,HR 5190,Nu  Cen  ,13 49 30.31,-41 41 16.1, 3.41,        ,                                          STAR B2IV,
,HR 4056,         ,10 18 28.20,-41 40 05.9, 5.96,        ,                                           STAR B9V,
,HR 4080,         ,10 22 19.61,-41 39 00.0, 4.83,        ,                                         STAR K1III,
,HR 1049,         ,03 26 11.71,-41 38 12.8, 6.32,        ,                                           STAR A0V,
,HR 8488,Mu 2Gru  ,22 16 26.59,-41 37 39.0, 5.10,        ,                                         STAR G8III,
,HR 4941,         ,13 06 35.11,-41 35 19.0, 5.59,        ,                                          STAR K0II,
,HR 2445,         ,06 36 51.31,-41 33 24.8, 6.34,        ,                                          STAR K0II,
,HR 5439,         ,14 35 31.51,-41 31 01.9, 5.87,W       ,                                           STAR B7V,
,HR 5060,         ,13 26 56.09,-41 29 53.2, 5.69,        ,                                         STAR K3III,
,HR 408 ,         ,01 24 40.80,-41 29 33.0, 5.42,        ,                                         STAR K0III,
,HR 5667,         ,15 16 04.01,-41 29 28.0, 5.16,I       ,                                           STAR G5I,
,HR 331 ,Ups Phe  ,01 07 47.90,-41 29 12.8, 5.21,W       ,                                          STAR A3IV,
,HR 8771,         ,23 03 59.50,-41 28 41.9, 5.79,        ,                                         STAR K0III,
,HR 2759,         ,07 14 57.10,-41 25 32.9, 5.94,        ,                                         STAR B4III,
,HR 5269,         ,14 03 27.50,-41 25 23.9, 6.11,        ,                                            STAR A0,
,HR 8644,Rho Gru  ,22 43 30.00,-41 24 51.8, 4.85,W       ,                                         STAR K0III,
,HR 5155,         ,13 42 55.01,-41 24 04.0, 5.98,        ,                                         STAR K0III,
,HR 8069,Eta Mic  ,21 06 25.51,-41 23 10.0, 5.53,W       ,                                         STAR K3III,
,HR 4718,         ,12 24 44.69,-41 23 03.1, 6.25,W       ,                                         STAR K2III,
,HR 8477,         ,22 14 38.59,-41 22 54.1, 6.23,        ,                                           STAR G5V,
,HR 1076,         ,03 30 13.61,-41 22 12.0, 6.12,        ,                                           STAR F7V,
,HR 6786,         ,18 11 05.59,-41 21 33.1, 5.86,        ,                                           STAR F2V,
,HR 8486,Mu 1Gru  ,22 15 36.89,-41 20 48.1, 4.79,        ,                                         STAR G8III,
,HR 6804,         ,18 13 12.60,-41 20 10.0, 5.47,        ,                                         STAR B2III,
,HR 1557,         ,04 50 16.20,-41 19 14.9, 6.07,W       ,                                           STAR F2V,
,HR 3162,         ,08 02 44.81,-41 18 36.0, 5.52,W       ,                                            STAR B9,
,HR 3591,         ,09 00 05.40,-41 15 14.0, 4.45,        ,                                         STAR G8III,
,HR 4625,         ,12 08 54.50,-41 13 53.0, 5.48,        ,                                          STAR B3IV,
,HR 6245,         ,16 51 33.70,-41 13 50.2, 5.22,        ,                                           STAR O8I,
,HR 4938,         ,13 04 48.10,-41 11 48.1, 6.26,        ,                                         STAR M3III,
,HR 8847,         ,23 16 49.80,-41 11 39.8, 6.47,        ,                                         STAR K0III,
,HR 5285,Chi Cen  ,14 06 02.81,-41 10 46.9, 4.36,        ,                                           STAR B2V,
,HR 8229,Xi  Gru  ,21 32 05.90,-41 10 45.1, 5.29,        ,                                         STAR K0III,
,HR 6523,         ,17 33 07.39,-41 10 25.0, 5.84,        ,                                           STAR B9I,
,HR 5776,Gam Lup  ,15 35 08.50,-41 10 00.8, 2.78,W       ,                                          STAR B2IV,
,HR 659 ,         ,02 14 31.99,-41 10 00.1, 5.91,        ,                                         STAR G8III,
,HR 6272,         ,16 54 58.39,-41 09 04.0, 5.77,W       ,                                           STAR O8I,
,HR 3488,         ,08 46 23.81,-41 07 32.2, 6.21,        ,                                           STAR B9V,
,HR 6015,         ,16 11 17.69,-41 07 10.9, 5.86,        ,                                          STAR F0IV,
,HR 6206,         ,16 43 45.50,-41 07 08.0, 6.20,W       ,                                           STAR A4V,
,HR 6209,         ,16 43 53.90,-41 06 47.2, 6.12,W       ,                                           STAR B6V,
,HR 8835,         ,23 14 58.61,-41 06 20.2, 5.77,        ,                                         STAR K2III,
,HR 2368,         ,06 28 42.29,-41 04 27.8, 6.32,        ,                                           STAR F2V,
,HR 5607,         ,15 05 19.10,-41 04 01.9, 5.15,W       ,                                         STAR G8III,
,HR 1518,         ,04 43 44.21,-41 03 52.9, 6.25,        ,                                         STAR K3III,
,HR 5682,         ,15 18 09.41,-41 03 38.9, 6.28,        ,                                            STAR A0,
,HR 4794,         ,12 35 45.50,-41 01 18.8, 5.13,        ,                                         STAR A7III,
,HR 8180,The2Mic  ,21 24 24.79,-41 00 24.1, 5.77,W       ,                                         STAR A0III,
,HR 4577,         ,11 58 20.30,-40 56 49.9, 6.79,W       ,                                         STAR K1III,
,HR 1827,         ,05 27 05.30,-40 56 37.0, 5.87,W       ,                                            STAR A7,
,HR 119 ,         ,00 30 27.79,-40 56 21.8, 6.19,        ,                                         STAR F2III,
,HR 3002,         ,07 43 41.90,-40 56 02.0, 5.17,        ,                                         STAR K1III,
,HR 2390,         ,06 30 59.81,-40 54 59.0, 6.20,        ,                                         STAR K3III,
,HR 2691,         ,07 07 07.10,-40 53 35.9, 5.79,        ,                                           STAR B3V,
,HR 5604,         ,15 04 42.91,-40 51 41.0, 6.41,        ,                                         STAR M6III,
,HR 5417,         ,14 30 56.50,-40 50 42.0, 6.39,        ,                                         STAR K3III,
,HR 706 ,         ,02 24 33.79,-40 50 26.2, 6.18,        ,                                           STAR G2V,
,HR 6214,         ,16 44 42.60,-40 50 22.9, 5.71,W       ,                                           STAR B3V,
,HR 3930,         ,09 56 05.40,-40 49 28.9, 6.41,        ,                                         STAR M1III,
,HR 8859,Phi Gru  ,23 18 09.91,-40 49 27.8, 5.53,        ,                                           STAR F5V,
,HR 6283,         ,16 56 36.00,-40 49 25.0, 6.15,        ,                                           STAR B0I,
,HR 7639,         ,20 01 26.40,-40 48 51.1, 6.29,        ,                                           STAR A2V,
,HR 8151,The1Mic  ,21 20 45.60,-40 48 34.9, 4.82,        ,                                            STAR A0,
,HR 7799,         ,20 25 47.90,-40 47 47.0, 6.09,        ,                                         STAR K3III,
,HR 5687,         ,15 18 56.40,-40 47 17.9, 5.59,        ,                                           STAR B7V,
,HR 6643,         ,17 51 32.81,-40 46 21.0, 5.96,W       ,                                         STAR M2III,
,HR 5696,         ,15 21 35.30,-40 44 58.9, 6.20,        ,                                           STAR A1V,
,HR 3107,         ,07 56 24.29,-40 44 11.0, 6.78,        ,                                           STAR B2V,
,HR 1947,         ,05 38 43.61,-40 42 27.0, 5.82,        ,                                           STAR B8V,
,HR 1157,         ,03 44 06.19,-40 39 37.1, 6.45,W       ,                                         STAR K1III,
,HR 5945,         ,15 59 58.01,-40 39 10.1, 6.49,        ,                                          STAR K1II,
,HR 2017,         ,05 47 58.10,-40 39 09.0, 6.61,        ,                                         STAR K1III,
,HR 3041,         ,07 48 08.50,-40 39 07.9, 6.14,        ,                                         STAR M2III,
,HR 3807,         ,09 32 19.30,-40 38 57.8, 5.35,W       ,                                         STAR G8III,
,HR 5695,Del Lup  ,15 21 22.30,-40 38 51.0, 3.22,        ,                                          STAR B1IV,
,HR 7348,Alp Sgr  ,19 23 53.21,-40 36 58.0, 3.97,        ,                                           STAR B8V,
,HR 8818,         ,23 10 09.79,-40 35 30.1, 5.83,        ,                                         STAR M4III,
,HR 8602,Sig2Gru  ,22 36 58.80,-40 35 28.0, 5.86,W       ,                                           STAR A1V,
,HR 4453,         ,11 33 37.30,-40 35 12.8, 5.39,W       ,                                          STAR A2IV,
,HR 5624,         ,15 08 12.10,-40 35 02.0, 5.79,        ,                                          STAR B8IV,
,HR 8600,Sig1Gru  ,22 36 29.30,-40 34 58.1, 6.28,        ,                                           STAR A3V,
,HR 3080,         ,07 52 13.01,-40 34 32.9, 3.73,        ,                                          STAR K1II,
,HR 814 ,         ,02 43 20.30,-40 31 39.0, 6.36,W       ,                                           STAR B9V,
,HR 8117,         ,21 15 14.69,-40 30 23.0, 6.21,        ,                                         STAR K2III,
,HR 3746,         ,09 26 28.49,-40 30 06.8, 6.20,        ,                                         STAR A7III,
,HR 4523,         ,11 46 31.10,-40 30 02.2, 4.91,        ,                                           STAR G3V,
,HR 2727,         ,07 12 15.79,-40 29 56.0, 5.31,        ,                                            STAR A3,
,HR 7242,Del CrA  ,19 08 20.90,-40 29 48.1, 4.59,        ,                                         STAR K1III,
,HR 3786,Psi Vel  ,09 30 42.00,-40 28 00.1, 3.60,W       ,                                          STAR F3IV,
,HR 3548,         ,08 53 50.69,-40 26 51.0, 6.47,        ,                                          STAR K0II,
,HR 4447,         ,11 32 48.10,-40 26 11.0, 5.64,        ,                                         STAR K6III,
,HR 5952,         ,16 00 53.71,-40 26 07.1, 6.21,W       ,                                           STAR A0V,
,HR 7050,Mu  CrA  ,18 47 44.59,-40 24 22.0, 5.24,        ,                                         STAR G5III,
,HR 1323,         ,04 13 35.71,-40 21 28.1, 6.37,        ,                                         STAR K3III,
,HR 1219,         ,03 54 23.21,-40 21 25.9, 5.71,W       ,                                         STAR K0III,
,HR 2203,         ,06 10 10.30,-40 21 13.0, 5.58,        ,                                          STAR M2II,
,HR 2475,         ,06 41 14.09,-40 20 58.9, 6.12,W       ,                                           STAR B4V,
,HR 3243,         ,08 14 02.90,-40 20 53.2, 4.44,W       ,                                          STAR K1II,
,HR 4015,         ,10 13 45.91,-40 20 44.9, 5.90,W       ,                                         STAR K1III,
,HR 3514,         ,08 49 39.19,-40 19 14.2, 5.48,        ,                                          STAR A2IV,
,HR 4019,         ,10 13 56.59,-40 18 38.2, 6.35,W       ,                                         STAR G8III,
,HR 6678,         ,17 56 55.80,-40 18 20.2, 6.43,        ,                                         STAR K3III,
,HR 897 ,The1Eri  ,02 58 15.70,-40 18 16.9, 3.24,W       ,                                         STAR A4III,
,HR 898 ,The2Eri  ,02 58 16.30,-40 18 15.8, 4.35,W       ,                                           STAR A1V,
,HR 9046,         ,23 54 38.59,-40 18 00.0, 6.03,        ,                                          STAR F8IV,
,HR 2323,         ,06 24 44.50,-40 17 03.1, 6.31,        ,                                           STAR B9V,
,HR 1106,         ,03 37 05.71,-40 16 28.9, 4.58,        ,                                         STAR K1III,
,HR 8100,         ,21 12 13.61,-40 16 09.8, 5.83,        ,                                          STAR F5IV,
,HR 3439,         ,08 40 19.30,-40 15 51.1, 5.20,W       ,                                           STAR B9V,
,HR 5259,         ,14 01 19.01,-40 13 19.9, 6.13,W       ,                                         STAR K1III,
,HR 5449,         ,14 36 44.21,-40 12 42.1, 5.74,        ,                                            STAR B8,
,HR 5862,         ,15 47 25.39,-40 11 39.1, 6.42,        ,                                         STAR G5III,
,HR 9001,         ,23 46 01.20,-40 10 57.0, 6.31,        ,                                         STAR A7III,
,HR 4889,         ,12 53 26.21,-40 10 44.0, 4.27,        ,                                         STAR A7III,
,HR 4836,         ,12 43 26.30,-40 10 40.1, 6.44,        ,                                           STAR A8V,
,HR 5065,         ,13 27 14.69,-40 09 47.2, 6.40,W       ,                                         STAR G8III,
,HR 3421,         ,08 37 19.90,-40 08 51.0, 6.55,        ,                                          STAR G4IV,
,HR 6615,Iot1Sco  ,17 47 35.09,-40 07 36.8, 3.03,W       ,                                           STAR F2I,
,HR 6631,Iot2Sco  ,17 50 11.21,-40 05 26.2, 4.81,W       ,                                           STAR A2I,
,HR 5767,         ,15 34 01.61,-40 03 58.0, 5.82,        ,                                         STAR M2III,
,HR 3025,         ,07 46 33.41,-40 03 34.9, 6.57,        ,                                           STAR B2V,
,HR 2907,         ,07 33 13.51,-40 03 32.0, 6.26,        ,                                          STAR B8IV,
,HR 5136,         ,13 39 48.60,-40 03 06.8, 5.60,        ,                                         STAR K2III,
,HR 7422,         ,19 34 08.50,-40 02 04.9, 5.89,        ,                                         STAR A3III,
,HR 3165,Zet Pup  ,08 03 35.09,-40 00 11.9, 2.25,        ,                                            STAR O5,
,HR 2952,         ,07 38 24.19,-39 59 29.0, 6.59,        ,                                            STAR A0,
,HR 4817,         ,12 39 52.51,-39 59 15.0, 4.64,        ,                                          STAR B8II,
,HR 3968,         ,10 04 23.40,-39 58 32.9, 6.43,        ,                                         STAR K1III,
,HR 3404,         ,08 35 12.60,-39 58 12.0, 6.47,        ,                                           STAR G1V,
,HR 2082,         ,05 54 52.51,-39 57 29.2, 5.57,        ,                                         STAR M0III,
,HR 853 ,         ,02 50 47.90,-39 55 54.1, 6.36,        ,                                           STAR A0V,
,HR 109 ,         ,00 28 26.40,-39 54 54.0, 5.43,        ,                                         STAR M0III,
,HR 5572,         ,14 58 36.79,-39 54 24.1, 6.15,        ,                                         STAR K2III,
,HR 2917,         ,07 33 58.51,-39 54 20.9, 6.76,        ,                                         STAR K2III,
,HR 5198,         ,13 50 19.39,-39 54 04.0, 6.44,        ,                                         STAR K1III,
,HR 6948,         ,18 33 00.91,-39 53 31.9, 6.22,        ,                                          STAR F5IV,
,HR 7552,         ,19 51 50.59,-39 52 27.8, 5.33,        ,                                            STAR A0,
,HR 5400,         ,14 26 49.90,-39 52 26.0, 6.35,        ,                                          STAR B7IV,
,HR 4796,         ,12 36 01.20,-39 52 12.0, 5.80,W       ,                                           STAR A0V,
,HR 5918,         ,15 56 06.50,-39 51 51.1, 6.03,W       ,                                           STAR B6V,
,HR 794 ,Iot Eri  ,02 40 40.01,-39 51 20.2, 4.11,        ,                                         STAR K0III,
,HR 7255,         ,19 09 39.70,-39 49 41.2, 6.46,        ,                                         STAR K0III,
,HR 7136,         ,18 57 34.70,-39 49 23.9, 6.31,        ,                                            STAR A3,
,HR 7987,         ,20 53 40.20,-39 48 36.0, 5.35,        ,                                         STAR K2III,
,HR 3729,         ,09 22 36.70,-39 46 28.9, 6.54,        ,                                         STAR K1III,
,HR 6392,         ,17 14 27.70,-39 46 00.8, 6.60,W       ,                                           STAR G5I,
,HR 5058,         ,13 26 07.80,-39 45 19.1, 5.09,        ,                                         STAR K0III,
,HR 5135,         ,13 39 40.80,-39 44 53.2, 6.27,        ,                                         STAR M4III,
,HR 1631,         ,05 01 34.51,-39 43 05.2, 6.03,        ,                                         STAR G5III,
,HR 5719,Ups Lup  ,15 24 44.90,-39 42 37.1, 5.37,W       ,                                            STAR A0,
,HR 6942,         ,18 32 21.41,-39 42 14.0, 5.16,        ,                                           STAR A3V,
,HR 4568,         ,11 55 54.70,-39 41 21.1, 6.13,        ,                                         STAR K0III,
,HR 7031,         ,18 44 57.19,-39 41 11.0, 5.43,        ,                                          STAR K3II,
,HR 4879,         ,12 51 56.81,-39 40 50.9, 5.98,        ,                                           STAR B8V,
,HR 1793,         ,05 23 24.00,-39 40 43.0, 5.71,        ,                                         STAR M1III,
,HR 2702,         ,07 08 51.10,-39 39 20.9, 4.83,        ,                                          STAR B2IV,
,HR 1584,         ,04 54 54.79,-39 37 43.0, 6.10,        ,                                         STAR K3III,
,HR 3286,         ,08 21 24.19,-39 37 14.9, 6.16,        ,                                           STAR A3V,
,HR 3225,         ,08 11 21.50,-39 37 07.0, 4.45,        ,                                           STAR K3I,
,HR 3844,         ,09 38 40.70,-39 36 51.1, 6.70,W       ,                                            STAR F5,
,HR 5446,         ,14 36 24.19,-39 35 49.9, 6.13,        ,                                         STAR K1III,
,HR 3874,         ,09 44 15.79,-39 34 16.0, 6.82,        ,                                           STAR F2V,
,HR 4153,         ,10 35 12.91,-39 33 46.1, 5.38,        ,                                               STAR,
,HR 7915,         ,20 42 52.99,-39 33 31.0, 6.29,        ,                                         STAR K1III,
,HR 8411,Lam Gru  ,22 06 06.89,-39 32 35.9, 4.46,        ,                                         STAR K3III,
,HR 2507,         ,06 46 03.29,-39 32 24.0, 6.62,        ,                                           STAR B6V,
,HR 7156,         ,18 59 11.11,-39 32 04.9, 6.49,W       ,                                            STAR A0,
,HR 5378,         ,14 23 02.21,-39 30 43.9, 4.42,        ,                                         STAR B7III,
,HR 6381,         ,17 12 16.20,-39 30 24.8, 5.67,        ,                                           STAR A1V,
,HR 7464,         ,19 39 55.70,-39 25 59.9, 6.61,        ,                                            STAR A2,
,HR 6080,         ,16 20 32.59,-39 25 50.9, 6.12,W       ,                                           STAR B9V,
,HR 3737,         ,09 24 16.30,-39 25 32.9, 6.06,W       ,                                           STAR A7V,
,HR 8104,         ,21 13 03.10,-39 25 31.1, 5.26,        ,                                          STAR F5IV,
,HR 5561,         ,14 56 35.81,-39 24 58.0, 6.36,        ,                                           STAR A0V,
,HR 5089,         ,13 31 02.69,-39 24 27.0, 3.88,W       ,                                           STAR G9I,
,HR 1981,         ,05 43 30.19,-39 24 24.8, 6.25,        ,                                           STAR F3V,
,HR 3602,         ,09 02 06.41,-39 24 09.0, 6.27,        ,                                         STAR K1III,
,HR 3694,         ,09 16 57.19,-39 24 05.0, 5.33,        ,                                         STAR K5III,
,HR 6221,         ,16 46 47.81,-39 22 37.9, 5.48,        ,                                         STAR K0III,
,HR 1526,         ,04 45 55.39,-39 21 24.1, 6.05,        ,                                         STAR K1III,
,HR 5773,         ,15 34 20.90,-39 20 57.8, 6.36,        ,                                           STAR B9V,
,HR 7259,Bet CrA  ,19 10 01.70,-39 20 26.9, 4.11,        ,                                          STAR K0II,
,HR 3032,         ,07 47 05.81,-39 19 53.0, 6.31,        ,                                         STAR B8III,
,HR 4713,         ,12 23 36.89,-39 18 11.2, 6.40,        ,                                           STAR F2V,
,HR 3140,         ,07 59 28.39,-39 17 49.9, 5.24,        ,                                         STAR F5III,
,HR 2262,         ,06 16 35.59,-39 15 51.8, 6.00,        ,                                           STAR A2V,
,HR 3656,         ,09 11 40.99,-39 15 32.0, 6.00,        ,                                           STAR B6V,
,HR 2791,         ,07 18 33.60,-39 12 37.1, 5.25,        ,                                           STAR A1V,
,HR 7933,         ,20 46 20.09,-39 11 57.1, 5.50,        ,                                           STAR B8V,
,HR 2488,         ,06 43 23.30,-39 11 35.9, 6.30,        ,                                            STAR A8,
,HR 6094,         ,16 24 01.30,-39 11 35.2, 5.40,        ,                                           STAR G5V,
,HR 5805,         ,15 38 32.69,-39 09 38.9, 6.57,        ,                                           STAR B9V,
,HR 8685,         ,22 51 02.21,-39 09 24.8, 5.42,        ,                                         STAR M0III,
,HR 3517,         ,08 49 52.39,-39 08 30.1, 6.39,        ,                                         STAR A5III,
,HR 6683,         ,17 57 57.79,-39 08 12.8, 6.29,W       ,                                          STAR A0IV,
,HR 8552,Nu  Gru  ,22 28 39.19,-39 07 54.8, 5.47,W       ,                                         STAR G9III,
,HR 3812,         ,09 33 07.80,-39 07 44.0, 6.43,W       ,                                          STAR F0IV,
,HR 5807,         ,15 38 42.31,-39 07 41.2, 6.04,W       ,                                            STAR A3,
,HR 5999,         ,16 08 34.20,-39 06 19.1, 7.05,W       ,                                          STAR A7IV,
,HR 6000,         ,16 08 34.39,-39 05 35.2, 6.65,W       ,                                         STAR A0III,
,HR 3373,         ,08 31 24.60,-39 03 51.1, 6.31,W       ,                                           STAR B4V,
,HR 3328,         ,08 26 18.19,-39 03 37.1, 7.25,W       ,                                           STAR A2V,
,HR 3327,         ,08 26 17.59,-39 03 33.8, 6.53,W       ,                                           STAR B9V,
,HR 4748,         ,12 28 22.51,-39 02 29.0, 5.44,        ,                                           STAR B8V,
,HR 6580,Kap Sco  ,17 42 29.30,-39 01 48.0, 2.41,        ,                                         STAR B1III,
,HR 7268,         ,19 11 01.80,-39 00 18.0, 6.36,        ,                                         STAR B7III,
,HR 6910,         ,18 28 27.10,-38 59 44.2, 5.64,        ,                                            STAR A2,
,HR 4648,         ,12 13 25.30,-38 55 45.1, 5.76,        ,                                          STAR B4IV,
,HR 288 ,Xi  Scl  ,01 01 18.31,-38 55 00.1, 5.59,        ,                                         STAR K0III,
,HR 4714,         ,12 23 44.90,-38 54 40.0, 5.79,        ,                                           STAR B9V,
,HR 8790,Ups Gru  ,23 06 53.59,-38 53 31.9, 5.61,W       ,                                           STAR A1V,
,HR 5419,         ,14 31 10.80,-38 52 10.9, 5.97,        ,                                         STAR K1III,
,HR 2995,         ,07 43 07.01,-38 51 51.1, 6.89,        ,                                         STAR G6III,
,HR 3084,         ,07 52 38.69,-38 51 47.2, 4.49,        ,                                           STAR B2V,
,HR 6921,         ,18 29 16.80,-38 51 04.0, 6.63,        ,                                            STAR B8,
