,name   ,alt_name ,ra         ,dec        ,vmag ,multiple,class                                              ,
,HR 64  ,         ,00 16 49.01,-78 46 50.2, 6.77,        ,                                         STAR F3III,
,HR 8577,         ,22 35 26.40,-78 46 18.1, 6.15,        ,                                         STAR K1III,
,HR 6020,Del1Aps  ,16 20 20.81,-78 41 44.9, 4.68,W       ,                                         STAR M5III,
,HR 6021,Del2Aps  ,16 20 26.81,-78 40 01.9, 5.27,W       ,                                         STAR K3III,
,HR 4174,Gam Cha  ,10 35 28.10,-78 36 28.1, 4.11,        ,                                         STAR M0III,
,HR 5240,         ,14 00 32.81,-78 35 24.0, 6.09,        ,                                         STAR B9III,
,HR 4649,         ,12 13 55.70,-78 34 25.0, 6.35,        ,                                         STAR K2III,
,HR 467 ,         ,01 33 39.19,-78 30 16.9, 6.11,W       ,                                         STAR K0III,
,HR 4976,         ,13 14 17.21,-78 26 49.9, 5.85,        ,                                           STAR F8I,
,HR 1109,         ,03 29 58.80,-78 21 06.8, 5.70,        ,                                         STAR G8III,
,HR 593 ,Sig Hyi  ,01 55 50.50,-78 20 53.9, 6.16,        ,                                          STAR F5IV,
,HR 1154,         ,03 36 30.00,-78 19 23.2, 6.29,        ,                                         STAR K2III,
,HR 1682,         ,05 00 13.20,-78 18 01.1, 6.29,W       ,                                         STAR K5III,
,HR 4583,Eps Cha  ,11 59 37.30,-78 13 18.8, 4.91,W       ,                                           STAR B9V,
,HR 5757,         ,15 39 18.29,-77 55 05.2, 6.18,        ,                                         STAR K2III,
,HR 6994,         ,18 47 49.39,-77 52 01.9, 6.39,        ,                                           STAR F8V,
,HR 5306,         ,14 16 54.89,-77 39 50.0, 6.47,        ,                                          STAR K2II,
,HR 8370,         ,22 01 52.10,-77 39 45.0, 6.41,        ,                                          STAR A5IV,
,HR 1531,         ,04 38 21.70,-77 39 22.0, 6.05,        ,                                         STAR K2III,
,HR 3000,         ,07 36 04.20,-77 38 03.1, 6.18,        ,                                         STAR M0III,
,HR 4397,         ,11 21 57.10,-77 36 29.9, 6.43,        ,                                         STAR A5III,
,HR 5082,         ,13 33 14.81,-77 34 05.9, 6.48,W       ,                                           STAR F6V,
,HR 6163,Bet Aps  ,16 43 04.61,-77 31 03.0, 4.24,W       ,                                         STAR K0III,
,HR 8471,Psi Oct  ,22 17 50.50,-77 30 42.1, 5.51,        ,                                         STAR F3III,
,HR 3340,The Cha  ,08 20 38.50,-77 29 03.8, 4.35,W       ,                                         STAR K2III,
,HR 87  ,         ,00 21 28.61,-77 25 36.8, 5.97,        ,                                         STAR K3III,
,HR 8254,Nu  Oct  ,21 41 28.49,-77 23 24.0, 3.76,A       ,                                         STAR K0III,
,HR 1025,Iot Hyi  ,03 15 57.60,-77 23 17.9, 5.52,        ,                                         STAR F4III,
,HR 8935,         ,23 33 19.49,-77 23 07.1, 5.81,        ,                                           STAR G2V,
,HR 98  ,Bet Hyi  ,00 25 45.10,-77 15 15.1, 2.80,        ,                                          STAR G2IV,
,HR 5547,         ,15 00 11.81,-77 09 37.1, 5.93,        ,                                          STAR G8II,
,HR 9084,The Oct  ,00 01 35.71,-77 03 56.9, 4.78,        ,                                         STAR K3III,
